"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"C1orf194",51.5491842088376,5.45358269882371,0.709833157150858,1.55517521796508e-14,2.95626548770633e-14,"OK"
"KIAA1324",1651.72289728334,0.18677571715452,0.0770301047480653,0.0153205912356523,0.0184297792082371,"OK"
"SARS",14017.5857485258,0.402886975795333,0.0407442768986468,4.6844042045028e-23,1.05889850232214e-22,"OK"
"CELSR2",15731.1199630971,1.05758002873715,0.0566537815139703,9.11481198588191e-78,3.93482287310743e-77,"OK"
"PSRC1",3247.05781418877,0.582791542044705,0.0638677227826003,7.17510714863536e-20,1.52901809037982e-19,"OK"
"MYBPHL",76.2963850420912,1.25113579427384,0.409943375845986,0.00227343141085716,0.00287860925003439,"OK"
"SORT1",22072.8827029485,1.95635964717769,0.0308592012170854,0,0,"OK"
"PSMA5",6087.80816344206,-1.16038049459395,0.0431119295928658,1.44519473920918e-159,1.07945585171487e-158,"OK"
"SYPL2",107.279461533111,0.72322409906523,0.266837923689591,0.00672122932033001,0.0082754028547174,"OK"
"ATXN7L2",1001.4536088708,0.517097243707454,0.119102138927828,1.41430507623187e-05,1.9945702628645e-05,"OK"
"CYB561D1",1454.30197980203,0.973579141472248,0.118237361181865,1.80901206782365e-16,3.59714702158726e-16,"OK"
"AMIGO1",1393.17797904835,3.86930188703573,0.111527555743269,9.80995042947735e-264,1.15910246519264e-262,"OK"
"GPR61",274.618427346872,5.99424798879623,0.377392341245895,8.26673650989428e-57,2.95131307264321e-56,"OK"
"GNAI3",4231.9674704677,-1.31844164521197,0.0921158235262619,1.81855459270641e-46,5.8130202371687e-46,"OK"
"MIR197",0.726107530410066,-0.80006239487643,1.0008191240549,0.424054116115294,NaN,"Low"
"GNAT2",6.47022193317504,-1.32285521622599,1.12096920095221,0.237960635431401,NaN,"Low"
"AMPD2",7154.56286432012,0.602474720213238,0.0833084076643072,4.76424088862066e-13,8.71031039974769e-13,"OK"
"GSTM4",1926.170344689,0.828106782736286,0.0737755922675839,3.08531125064866e-29,7.78322939093983e-29,"OK"
"GSTM2",1333.86590056232,1.46095810113104,0.103908056524219,6.6787811290152e-45,2.09933277889892e-44,"OK"
"GSTM1",770.330407150819,-0.184963308756106,0.121067117838433,0.126568426156017,0.141502447964649,"OK"
"GSTM5",1051.31702704172,9.21790661601649,0.516210274530911,2.55514565821809e-71,1.04943693581107e-70,"OK"
"GSTM3",4719.21422983465,0.593779505658563,0.0477403219801379,1.63146593918946e-35,4.52754120763024e-35,"OK"
"EPS8L3",259.610770876445,-8.76806429484011,0.835794425312977,9.5324734923353e-26,2.26257599396114e-25,"OK"
"CSF1",2420.96179143164,-0.168585247374949,0.0828459965519896,0.0418585927436428,0.0487092286028083,"OK"
"AHCYL1",22896.4084870711,1.50716005343025,0.0436030567186885,8.34806827712375e-262,9.80497469980907e-261,"OK"
"STRIP1",3587.64709528023,0.599439523839893,0.0558071960216392,6.51500923819647e-27,1.57737883970359e-26,"OK"
"ALX3",25.5178929328975,4.07434270585044,0.782586296660025,1.92691288640847e-07,2.95080878376833e-07,"OK"
"UBL4B",19.1884379336367,3.09314356589323,0.676577962095547,4.83673695892948e-06,6.97016409339192e-06,"OK"
"SLC6A17",10989.6075039922,5.92398461126393,0.0769957935974619,0,0,"OK"
"KCNC4",2075.37512307282,2.82449587730662,0.0827717148620516,3.25889104995781e-255,3.74097926672712e-254,"OK"
"LOC440600",33.4051450022629,0.307688843524175,0.57908095045437,0.595183225735463,0.618100339816681,"OK"
"RBM15",1066.08053593285,-1.62872519964555,0.0845471274902625,1.07496769220673e-82,4.83830880892538e-82,"OK"
"SLC16A4",261.256644846713,0.226391018670529,0.174143048034139,0.193591018018841,0.212879347963341,"OK"
"LAMTOR5",3098.44804503159,-0.00789355419608963,0.0510470769770046,0.877110783293145,0.886198979282861,"OK"
"PROK1",12.16105621521,2.31796627552272,0.783213363671397,0.00308079555311677,0.00386750220564217,"OK"
"CYMP",10.6183692101808,0.847418533904896,0.821316777127899,0.30217501389821,0.325367065383541,"OK"
"KCNA10",0.492409395606763,0.039626890430441,1.03559546593518,0.969476527230295,NaN,"Low"
"KCNA2",1428.7308275352,7.7884662699846,0.284420227185181,4.29351949220049e-165,3.30000391633097e-164,"OK"
"KCNA3",228.279316024968,0.377841000841222,0.17014777512696,0.0263737426520773,0.0311911775853936,"OK"
"CD53",1156.48597923761,-0.389943709376444,0.0767248098854211,3.72758578537681e-07,5.63968157997291e-07,"OK"
"LRIF1",1593.76137563798,-1.28692214313734,0.107774275600036,7.24327467082103e-33,1.93623129361441e-32,"OK"
"DRAM2",1602.32483475438,-0.435409654113311,0.0714213360336953,1.08515854291846e-09,1.79866523406874e-09,"OK"
"CEPT1",1729.25191315539,-0.0351429016070671,0.108172512422546,0.745273183249301,0.762947515769956,"OK"
"DENND2D",608.761945846694,-2.28985548649356,0.166230812616377,3.59602140313993e-43,1.10700072578533e-42,"OK"
"CHI3L2",1172.09520815508,-0.216625237319282,0.0919659437219329,0.0184980910692072,0.022117201522955,"OK"
"CHIAP2",0,NaN,NaN,NaN,NaN,"Low"
"CHIA",0,NaN,NaN,NaN,NaN,"Low"
"PIFO",230.271829510269,2.8345335075871,0.203060914367108,2.7717844373461e-44,8.66646554080008e-44,"OK"
"PGCP1",0.232359990392826,-0.387019639418059,0.78386358631292,0.62149446849769,NaN,"Low"
