"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"MAN1C1",598,542,4086,4303
"SEPN1",8489,7952,6108,6436
"MTFR1L",3293,3226,5888,5945
"LOC646471",8,11,13,12
"AUNIP",940,968,161,103
"PAQR7",1155,1111,722,798
"STMN1",27250,26550,46417,43249
"MIR3917",0,0,0,0
"PAFAH2",1209,1204,522,599
"EXTL1",340,283,2857,2925
"SLC30A2",8,5,0,4
"TRIM63",292,225,6,2
"PDIK1L",914,1145,947,927
"FAM110D",22,20,152,128
"ZNF593",1301,1123,568,556
"CNKSR1",743,628,367,336
"CATSPER4",0,1,3,0
"CEP85",4778,4661,1653,1780
"SH3BGRL3",9785,9175,5063,5485
"UBXN11",1352,1224,1562,1636
"CD52",244,292,39,57
"AIM1L",255,207,4,2
"ZNF683",0,0,2,7
"LIN28A",10937,11347,6,20
"DHDDS",2409,2358,3642,3717
"HMGN2",21353,21548,4099,4710
"RPS6KA1",4003,3549,2003,2122
"MIR1976",0,0,0,0
"ARID1A",13263,12674,6872,7170
"PIGV",1446,1323,766,791
"ZDHHC18",3014,2785,1565,1658
"SFN",2728,2329,320,365
"GPN2",1241,1185,850,903
"GPATCH3",1074,932,1011,1071
"NR0B2",488,458,8,11
"NUDC",12871,12321,10018,9768
"C1orf172",272,274,120,113
"TRNP1",1259,1092,3755,3900
"FAM46B",805,666,75,67
"SLC9A1",3426,3127,3713,4252
"WDTC1",4285,3926,6903,6924
"TMEM222",2593,2266,3570,3877
"LOC644961",163,188,51,69
"SYTL1",2318,1956,1076,1115
"MAP3K6",1950,1722,1840,1979
"FCN3",1,0,46,27
"CD164L2",11,19,20,9
"GPR3",383,338,351,419
"WASF2",14958,14265,6011,6275
"AHDC1",2306,1857,6195,6326
"FGR",211,189,508,547
"IFI6",1410,1292,3410,3313
"FAM76A",702,726,840,739
"STX12",1847,1906,7117,6290
"PPP1R8",4565,4249,3286,3003
"SCARNA1",0,1,0,0
"THEMIS2",1054,916,861,936
"RPA2",5342,5240,3277,3516
"SMPDL3B",656,524,321,320
"XKR8",764,619,710,832
"EYA3",3133,3247,1990,1969
"PTAFR",255,229,194,251
"DNAJC8",9126,9204,6265,6675
"ATPIF1",6372,5697,7966,8043
"SESN2",4302,4159,1516,1516
"MED18",1000,1055,492,552
"PHACTR4",4202,4223,1799,1759
"SNHG3",7800,7451,852,771
"RCC1",9394,9080,402,497
"TRNAU1AP",1579,1374,1030,1025
"SNHG12",1590,1449,537,607
"SNORD99",25,51,17,10
"SNORA61",225,234,67,48
"SNORA44",96,96,27,46
"SNORA16A",37,13,11,8
"RAB42",291,230,13,15
"TAF12",1745,1685,809,788
"RNU11",5,7,3,5
"GMEB1",818,741,470,421
"YTHDF2",6656,6912,3337,3039
"OPRD1",2,4,42,39
"EPB41",10719,10588,6991,7189
"TMEM200B",356,376,798,799
"SRSF4",9966,9791,5992,6385
"MECR",1832,1600,1653,1804
"PTPRU",3958,3587,3036,3382
"MATN1",29,27,40,52
"MATN1-AS1",255,158,156,143
"LAPTM5",6204,6103,2722,2710
"MIR4420",1,0,2,0
"SDC3",6335,5973,16281,16022
"PUM1",8068,8154,8032,7773
"SNORD103B",0,0,0,0
"SNORD103A",0,0,0,0
"SNORD85",0,3,0,0
"NKAIN1",988,859,2066,2273
"SNRNP40",4984,4892,1589,1544
"ZCCHC17",3386,3126,4421,4599
"FABP3",451,433,3493,3647
"SERINC2",2975,2650,97,62
"LOC149086",13,8,0,0
"LOC284551",25,62,0,0
"TINAGL1",618,615,1149,1299
"HCRTR1",9,2,16,10
"PEF1",3799,3598,5514,5677
"COL16A1",3159,2809,6214,6595
"BAI2",1465,1351,13994,14980
"MIR4254",0,0,0,0
"SPOCD1",358,368,119,88
"PTP4A2",16646,17436,16750,16520
"KHDRBS1",15248,15044,9060,8730
"TMEM39B",1377,1183,687,728
