"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"TCEANC2",1043,930,390,302
"MIR4781",0,0,0,0
"CDCP2",0,2,15,1
"CYB5RL",749,742,217,245
"MRPL37",8761,8254,3045,3186
"SSBP3",4911,4633,9009,9510
"ACOT11",313,228,199,199
"FAM151A",3,3,2,0
"MROH7",0,0,76,61
"HEATR8-TTC4",0,0,13,42
"TTC4",215,193,127,95
"PARS2",649,649,307,272
"TTC22",46,57,18,20
"C1orf177",3,5,0,0
"DHCR24",25055,23750,25121,26727
"TMEM61",53,30,183,185
"BSND",25,5,31,23
"PCSK9",3301,2899,907,909
"USP24",7218,7283,6822,6901
"LOC100507634",67,66,48,36
"MIR4422",0,0,0,0
"PPAP2B",8893,8323,9294,9589
"PRKAA2",862,1016,1324,1056
"C1orf168",132,106,37,24
"C8A",163,144,0,2
"C8B",174,169,0,0
"DAB1",43,63,814,857
"OMA1",1094,1182,549,536
"TACSTD2",4223,4001,31,14
"MYSM1",3784,3943,2900,2734
"JUN",14561,12627,8174,8634
"LOC100131060",12,35,100,53
"HSD52",0,3,0,7
"FGGY",424,434,490,633
"MIR4711",0,0,0,0
"HOOK1",1446,1525,2058,1735
"CYP2J2",125,126,1473,1482
"C1orf87",7,5,39,10
"NFIA",915,983,5640,4942
"MGC34796",0,0,0,0
"TM2D1",1173,1115,1412,1445
"INADL",1858,1890,5091,4753
"L1TD1",2272,2493,5,5
"KANK4",315,277,344,315
"USP1",6589,6665,2726,2394
"DOCK7",4555,4746,2700,2521
"ANGPTL3",4,18,0,0
"ATG4C",868,830,1496,1327
"LINC00466",2,0,0,0
"FOXD3",105,109,0,0
"ALG6",784,894,351,289
"ITGB3BP",1192,1279,349,320
"EFCAB7",522,540,1201,1056
"DLEU2L",16,16,38,28
"PGM1",7700,7394,3809,3764
"ROR1",1103,1034,154,166
"UBE2U",3,4,0,0
"CACHD1",1981,2010,1440,1538
"MIR4794",0,0,0,0
"RAVER2",1606,1671,1767,1591
"JAK1",8405,8237,12780,11832
"MIR3671",1,0,1,0
"MIR101-1",0,0,0,0
"AK4",5333,5604,4413,3988
"DNAJC6",897,1020,27929,27337
"LEPROT",3574,3732,2457,2257
"LEPR",727,877,690,609
"PDE4B",1755,1818,6746,6011
"SGIP1",96,91,4528,4275
"MIR3117",0,0,2,0
"TCTEX1D1",14,4,210,213
"INSL5",0,0,2,6
"WDR78",119,146,157,128
"MIER1",1965,2102,1818,1620
"SLC35D1",1793,1885,1059,1057
"C1orf141",0,0,9,4
"IL23R",42,41,0,0
"IL12RB2",45,40,287,236
"SERBP1",29294,28991,8334,7677
"GADD45A",3380,3114,2602,2633
"GNG12",5304,5787,1422,1160
"GNG12-AS1",22,33,0,8
"DIRAS3",22,33,288,212
"WLS",4884,4674,4388,4201
"MIR1262",0,0,0,0
"RPE65",10,16,40,35
"DEPDC1",2110,2167,16,25
"LRRC7",18,44,773,701
"PIN1P1",0,0,0,1
"LRRC40",1686,1809,1574,1151
"SRSF11",11533,11737,9298,8664
"ANKRD13C",1769,1939,2868,2797
"HHLA3",692,598,675,804
"CTH",1103,1107,356,390
"PTGER3",166,224,260,182
"ZRANB2-AS1",1,3,6,7
"ZRANB2",6338,6785,6635,5489
"MIR186",2,1,8,3
"ZRANB2-AS2",7,3,11,14
"NEGR1",214,242,6809,5308
"NEGR1-IT1",0,0,0,0
"LRRIQ3",50,60,34,3
"FPGT-TNNI3K",0,0,12,24
"FPGT",406,426,512,368
"TNNI3K",0,0,0,0
"C1orf173",3,3,3980,3715
"CRYZ",2075,2163,1020,948
"TYW3",2391,2396,2118,1905
"LHX8",76,86,4,6
"SLC44A5",166,142,251,196
"ACADM",3491,3562,2955,2902
"RABGGTB",6095,5902,2904,2748
"SNORD45C",5,5,0,0
"SNORD45A",12,11,2,1
"SNORD45B",4,10,0,0
"MSH4",18,4,83,75
"ASB17",0,0,0,0
"ST6GALNAC3",456,499,867,787
"ST6GALNAC5",117,121,834,911
"PIGK",2414,2662,2528,2296
"AK5",341,274,19475,18596
"ZZZ3",3416,3661,1818,1755
"USP33",4176,4225,8387,7219
"FAM73A",1003,1105,4010,3429
"NEXN",626,584,199,205
"FUBP1",10860,10556,4687,4717
"DNAJB4",1069,1144,1927,1567
"GIPC2",137,131,36,34
"MGC27382",6,7,0,0
"PTGFR",333,383,70,47
"IFI44L",254,228,825,814
"IFI44",799,833,466,399
"ELTD1",5,4,562,442
"LPHN2",1781,1830,3042,3092
"MIR548AP",0,0,0,0
"TTLL7",478,536,4987,5041
"PRKACB",1662,1882,26756,23293
"SAMD13",49,62,64,54
"UOX",2,8,25,25
"DNASE2B",0,0,11,27
"RPF1",2749,2819,1293,1299
"GNG5",5271,4942,961,930
"CTBS",1008,1118,512,512
"C1orf180",0,0,0,2
"SSX2IP",2417,2511,6168,5106
"LPAR3",178,159,34,76
"MCOLN2",189,206,16,4
"MCOLN3",208,168,14,13
"WDR63",28,33,57,30
"MIR4423",0,0,0,0
"SYDE2",458,453,35,55
"C1orf52",1221,1189,2156,1896
"BCL10",1153,1121,354,347
"LOC646626",21,18,10,8
"DDAH1",1343,1451,10925,9809
"CYR61",16571,15638,1730,1746
"ZNHIT6",1965,2049,1582,1226
"COL24A1",241,282,695,620
"ODF2L",852,1012,1350,1111
"CLCA2",25,28,53,33
"CLCA1",3,0,0,0
"CLCA4",2,1,472,385
"CLCA3P",2,0,3,0
"SH3GLB1",4551,4673,4529,4343
"SEP15",6122,5928,4677,4278
"HS2ST1",3854,3798,2866,2429
"LOC339524",24,18,427,359
"LMO4",2489,2442,15424,14610
"LOC100505768",0,0,0,0
"PKN2",3401,3562,2076,1724
"GTF2B",1741,1840,1518,1613
"CCBL2",1490,1539,1165,1012
"RBMXL1",1340,1489,1555,1627
"GBP3",1128,1141,374,368
"GBP1",1293,1224,1184,1039
"GBP2",1118,1119,842,723
"GBP7",4,6,2,1
"GBP4",277,236,691,654
"GBP5",61,34,54,29
"GBP6",4,2,14,11
"GBP1P1",10,17,36,36
"LRRC8B",1286,1343,5509,4540
"FLJ27354",16,16,112,125
"LRRC8C",1014,1145,986,927
"LRRC8D",3521,3482,3724,3542
"GEMIN8P4",184,144,118,124
"ZNF326",1961,1891,1486,1361
"BARHL2",4,4,1326,1448
"ZNF644",2774,2852,2563,2295
"HFM1",69,54,170,193
"CDC7",2471,2706,1368,1254
"TGFBR3",2822,2843,1219,1126
"BRDT",1,1,0,0
"EPHX4",73,71,925,734
"BTBD8",28,32,96,82
"KIAA1107",267,260,7014,6213
"C1orf146",0,0,0,0
"GLMN",739,831,653,395
"RPAP2",1120,1156,545,525
"GFI1",872,911,7,3
"EVI5",932,1002,1513,1152
"RPL5",75868,76335,23316,23885
"FAM69A",509,512,3754,3209
"SNORD21",23,18,6,7
"SNORA66",12,7,4,7
"MTF2",3302,3288,1312,1163
"TMED5",3489,3639,2457,2053
"CCDC18",931,1053,112,86
"LOC100131564",1732,1720,654,674
"DR1",3127,2890,2328,1899
"FNBP1L",2920,2638,2225,1968
"BCAR3",2016,1874,1004,937
"LOC100129046",139,135,2,1
"MIR760",1,0,4,5
"DNTTIP2",5021,5356,2595,2562
"GCLM",1547,1503,1047,978
"ABCA4",214,253,98,94
"ARHGAP29",2431,2501,3342,2871
"ABCD3",3490,3641,3159,2652
"F3",885,855,5700,5360
"SLC44A3",178,152,616,691
"CNN3",7751,8052,12428,11773
"LOC729970",201,209,574,521
"ALG14",420,407,452,420
"TMEM56",639,618,2734,2287
"TMEM56-RWDD3",22,21,29,15
"RWDD3",270,284,256,221
"FLJ31662",0,0,0,0
"PTBP2",1157,1157,2633,2156
"DPYD",1400,1431,632,585
"DPYD-AS1",0,0,0,0
"MIR137HG",0,4,63,59
"MIR2682",0,0,3,0
"MIR137",0,0,0,0
"LOC729987",0,0,4,2
"SNX7",1011,1107,523,491
"LPPR5",52,42,954,865
"LOC100129620",0,0,52,28
"LPPR4",152,149,4422,4153
"PALMD",950,928,449,501
"MIR548AA1",0,0,0,0
"MIR548D1",0,0,0,0
"FRRS1",457,528,8,18
"AGL",2016,2276,2481,1983
"SLC35A3",1113,1122,709,620
"HIAT1",3141,3321,3109,2948
"SASS6",1135,1230,297,292
"TRMT13",1079,1282,725,571
"LRRC39",97,86,145,175
"DBT",1957,1932,2199,1937
"RTCA",2065,2145,2262,2115
"MIR553",0,0,0,0
"CDC14A",519,552,190,217
"GPR88",0,2,460,488
"LOC100128787",0,0,0,0
"VCAM1",846,865,306,293
"EXTL2",1576,1645,3103,2642
"SLC30A7",1612,1560,723,475
"DPH5",2060,2161,837,861
"S1PR1",165,137,3946,4062
"RNU6-6",0,0,0,0
"OLFM3",2,1,3035,2857
"DNAJA1P5",0,0,1,0
"COL11A1",131,136,974,1068
"RNPC3",820,872,1546,1500
"AMY2B",175,179,1674,1877
"ACTG1P4",5,15,280,321
"AMY2A",0,0,51,46
"AMY1A",0,0,0,0
"AMY1C",0,0,0,0
"AMY1B",0,0,0,0
"LOC100129138",10,9,12,12
"PRMT6",1798,1849,800,719
"NTNG1",610,575,1195,1179
"VAV3",1202,1159,773,813
"VAV3-AS1",0,0,0,0
"SLC25A24",3161,3143,330,271
"NBPF4",54,50,2,0
"NBPF6",19,16,4,0
"FAM102B",4766,4655,3868,3533
"HENMT1",1747,1736,821,826
"PRPF38B",5694,5976,4327,4397
"FNDC7",13,11,21,28
"STXBP3",2412,2313,2993,2771
"AKNAD1",9,8,5,29
"SRG7",1,0,8,5
"GPSM2",2342,2502,1776,1712
"CLCC1",3042,2932,2509,2515
"WDR47",1208,1245,9752,9232
"TAF13",611,552,898,833
"TMEM167B",2352,2365,4377,3909
"SCARNA2",43,33,3,3
"C1orf194",2,1,82,112
"KIAA1324",1642,1615,1632,1726
"SARS",13138,12326,15118,15367
"CELSR2",11100,10430,19738,20848
"PSRC1",2883,2602,3692,3746
"MYBPHL",36,57,120,87
"SORT1",9660,9408,33691,33351
"PSMA5",9154,8591,3629,3558
"SYPL2",86,84,144,112
"ATXN7L2",929,809,1068,1184
"CYB561D1",1129,941,1769,1913
"AMIGO1",176,198,2475,2507
"GPR61",11,5,550,485
"GNAI3",6362,6378,2480,2144
"MIR197",0,3,0,0
"GNAT2",16,6,5,0
"AMPD2",6456,5536,8084,8394
"GSTM4",1548,1380,2383,2325
"GSTM2",737,759,1786,1952
"GSTM1",943,788,692,685
"GSTM5",3,2,1918,2092
"GSTM3",4002,3928,5386,5456
"EPS8L3",560,535,0,0
"CSF1",2897,2512,2197,2157
"AHCYL1",12517,12597,32696,32010
"STRIP1",3062,2953,4058,4197
"ALX3",4,0,53,41
"UBL4B",5,2,33,34
"SLC6A17",390,358,20237,21057
"KCNC4",569,512,3408,3540
"LOC440600",19,43,37,34
"RBM15",1712,1686,504,490
"SLC16A4",243,264,256,282
"LAMTOR5",3342,3210,3007,2895
"PROK1",2,5,16,24
"CYMP",6,9,20,7
"KCNA10",1,0,1,0
"KCNA2",7,18,2761,2674
"KCNA3",201,217,251,242
"CD53",1417,1350,980,932
"LRIF1",2343,2424,947,821
"DRAM2",1993,1893,1345,1257
"CEPT1",1902,1790,1765,1499
"DENND2D",1055,1078,173,219
"CHI3L2",1324,1332,999,1071
"CHIAP2",0,0,0,0
"CHIA",0,0,0,0
"PIFO",65,53,396,377
"PGCP1",1,0,0,0
"OVGP1",217,182,656,819
"WDR77",5469,5366,1445,1475
"ATP5F1",12232,12127,8375,8364
"C1orf162",194,192,636,595
"ADORA3",11,5,916,875
"LOC100129269",43,45,32,19
"RAP1A",2278,2346,2796,2368
"FAM212B",727,691,3046,2823
"LOC100506343",35,21,151,137
"DDX20",2037,2175,765,794
"KCND3",7,15,1644,1822
"LOC643355",9,15,467,454
"CTTNBP2NL",1369,1304,1693,1501
"MIR4256",0,0,0,0
"WNT2B",58,62,286,267
"ST7L",782,825,761,811
"CAPZA1",10882,11415,4288,3838
"MOV10",5979,5367,709,791
"RHOC",7770,7320,3694,3891
"PPM1J",266,260,903,985
"FAM19A3",18,24,61,54
"SLC16A1",10619,11291,3147,3041
"AKR7A2P1",0,0,0,1
"LRIG2",1144,1134,440,413
"LOC643441",0,0,0,0
"MAGI3",885,991,2953,2662
"PHTF1",1536,1499,1932,1829
"RSBN1",1736,1878,2476,2263
"PTPN22",457,421,47,30
"AP4B1-AS1",95,127,4,2
"BCL2L15",17,41,151,80
"AP4B1",2174,1983,1984,1971
"DCLRE1B",1995,2190,627,702
"HIPK1",8227,7831,10723,10466
"OLFML3",2757,2467,505,452
"SYT6",526,515,329,304
"TRIM33",5649,5964,3881,3371
"BCAS2",3218,3263,2726,2365
"DENND2C",82,87,131,82
"AMPD1",15,17,0,0
"NRAS",6613,6595,1656,1472
"CSDE1",53829,54833,30651,29666
"SIKE1",3910,3939,1919,1711
"SYCP1",0,0,12,6
"TSHB",0,0,0,0
"TSPAN2",157,152,167,148
"NGF",62,43,51,48
"VANGL1",3082,3068,194,145
"CASQ2",5,8,364,329
"NHLH2",19,11,294,304
"SLC22A15",287,266,2029,1917
"MAB21L3",41,51,12,7
"ATP1A1",63658,61150,94360,96614
"ATP1A1OS",188,143,157,110
"CD58",731,680,140,104
"IGSF3",3931,3809,1097,1161
"MIR320B1",0,0,0,0
"CD2",20,20,7,2
"PTGFRN",4425,4323,1533,1463
"CD101",75,57,65,76
"TTF2",5056,5093,461,472
"MIR942",0,5,0,0
"TRIM45",1279,1208,352,392
"VTCN1",376,329,2,3
"MAN1A2",2615,2597,2376,2349
"FAM46C",2986,3106,77,73
"GDAP2",1309,1264,615,535
"WDR3",6252,6655,1507,1472
"SPAG17",14,16,30,27
"TBX15",179,173,71,76
"WARS2",1083,1034,407,373
"HAO2",2,2,0,0
"HSD3B2",7,3,0,0
"HSD3B1",3,3,0,0
"HSD3BP4",2,0,0,12
"LINC00622",48,73,173,115
"ZNF697",1158,1305,398,381
"PHGDH",18132,15887,6005,6355
"HMGCS2",15,1,3,4
"REG4",13,4,0,0
"NBPF7",0,2,0,0
"ADAM30",0,0,0,0
"NOTCH2",13195,13171,3946,3748
"FAM72B",865,796,45,35
"HIST2H2BA",0,8,47,48
"FCGR1B",6,8,146,107
"SRGAP2D",194,156,300,271
"EMBP1",199,155,25,34
"ANKRD20A12P",100,81,1,2
"LOC100130000",5,14,9,17
"FLJ39739",4,0,13,5
"LOC100286793",13,4,49,40
"PPIAL4G",1,0,5,3
"FAM72D",520,519,18,22
"LINC00623",0,0,0,1
"LOC728875",4,12,28,19
"PPIAL4C",0,0,0,0
"PPIAL4B",0,0,0,0
"PPIAL4A",0,0,0,0
"PFN1P2",3,2,44,32
"NBPF9",1348,1181,798,857
"LOC653513",18,20,358,369
"PDE4DIP",5138,4956,27786,27892
"SEC22B",5593,5524,3424,3281
"NOTCH2NL",1082,1043,528,620
"NBPF10",801,853,250,349
"HFE2",42,14,18,13
"TXNIP",20915,20934,9233,9595
"POLR3GL",1626,1584,1619,1559
"ANKRD34A",427,446,3559,3539
"LIX1L",955,905,424,452
"RBM8A",9363,9144,5937,5406
"GNRHR2",182,224,484,521
"PEX11B",1564,1566,3101,3091
"ITGA10",306,241,622,574
"ANKRD35",74,58,1013,988
"PIAS3",4481,4108,3194,3340
"NUDT17",267,178,273,322
"POLR3C",2695,2644,1345,1387
"RNF115",1535,1677,1596,1535
"CD160",4,8,5,4
"PDZK1",337,277,748,626
"GPR89A",435,463,253,304
"GPR89C",0,0,0,0
"PDZK1P1",0,1,8,36
"NBPF11",0,0,0,0
"NBPF24",8,10,3,7
"HYDIN2",0,0,4,15
"LOC728989",23,18,73,75
"PRKAB2",3995,4219,4539,4170
"PDIA3P",464,442,257,273
"FMO5",1116,1188,139,179
"CHD1L",7260,7148,2837,2971
"LINC00624",12,15,4,3
"BCL9",3864,3567,3206,2991
"ACP6",1613,1462,339,352
"GJA5",72,44,211,268
"GJA8",0,0,0,0
"GPR89B",90,48,76,70
"MIR5087",0,0,0,3
"NBPF14",835,827,638,524
"PPIAL4F",0,0,0,0
"PPIAL4D",0,0,0,0
"NBPF15",522,550,215,211
"NBPF16",359,401,204,226
"PPIAL4E",0,0,0,0
"LOC645166",438,512,356,341
"LOC388692",720,605,517,544
"FCGR1C",2,1,42,54
"FAM91A2",37,42,37,30
"HIST2H2BF",59,77,30,36
"FCGR1A",45,29,447,373
"HIST2H3D",29,20,2,2
"HIST2H4A",0,0,0,0
"HIST2H4B",0,0,0,0
"HIST2H3C",0,0,0,0
"HIST2H3A",0,0,0,0
"HIST2H2AA4",0,0,0,0
"HIST2H2AA3",0,0,0,0
"HIST2H2BC",27,44,3,11
"HIST2H2BE",2938,2766,2200,2305
"HIST2H2AC",84,95,19,13
"HIST2H2AB",14,19,5,0
"BOLA1",850,675,722,743
"SV2A",2767,2566,31247,31935
"SF3B4",8348,7985,2374,2566
"MTMR11",931,994,667,653
"OTUD7B",1919,1746,2399,2199
"VPS45",3106,3316,4668,4353
"PLEKHO1",2151,1863,3643,3937
"ANP32E",6483,7217,4374,3524
"CA14",1702,1695,898,842
"APH1A",12216,11097,4141,4501
"C1orf54",146,167,359,394
"C1orf51",532,492,999,1109
"MRPS21",5603,4981,4776,4999
"PRPF3",6209,6305,2963,2860
"RPRD2",5941,5846,5820,5559
"TARS2",3734,3608,2152,2107
"ECM1",3035,2897,1392,1499
"LINC00568",16,25,17,27
"ADAMTSL4",3998,3642,139,151
"MIR4257",12,3,4,0
"MCL1",25383,25322,7626,6874
"ENSA",10344,9723,15682,15764
"GOLPH3L",2171,2394,1277,1300
"HORMAD1",47,61,0,2
"CTSS",1572,1569,566,531
"CTSK",829,927,427,440
"ARNT",4526,4182,3376,3389
"SETDB1",5364,5159,2149,2153
"CERS2",16961,16553,9083,9788
"ANXA9",639,463,35,11
"FAM63A",1295,1140,2163,2367
"PRUNE",2279,2339,1940,1999
"BNIPL",298,283,51,38
"C1orf56",533,526,360,346
"CDC42SE1",7738,7406,5562,5472
"MLLT11",1365,1427,18141,16723
"GABPB2",470,452,281,275
"SEMA6C",725,674,3457,3546
"TNFAIP8L2",69,77,94,85
"TNFAIP8L2-SCNM1",0,0,0,0
"LYSMD1",786,900,1509,1179
"SCNM1",212,142,126,102
"TMOD4",71,73,21,12
"VPS72",4154,4199,3062,3386
"PIP5K1A",8531,8577,3418,3552
"PSMD4",11811,11194,7605,7854
"ZNF687",3856,3466,2453,2462
"PI4KB",6259,5746,8082,8095
"RFX5",6173,5925,3369,3259
"SELENBP1",2629,2334,1704,1728
"PSMB4",16622,14959,8900,9204
"POGZ",9553,9581,11657,11126
"CGN",1080,1109,1465,1628
"TUFT1",3326,3494,1005,1003
"MIR554",0,2,0,0
"SNX27",3578,3430,7079,6655
"CELF3",9,22,9554,9486
"RIIAD1",3,0,68,76
"MRPL9",4705,4599,2286,2391
"OAZ3",43,53,66,44
"TDRKH",1637,1504,1973,1889
"LINGO4",7,4,419,343
"RORC",652,577,536,624
"C2CD4D",36,35,72,69
"LOC100132111",31,46,122,137
"THEM5",12,7,6,7
"THEM4",2071,2170,1214,1038
"S100A10",11980,12009,1359,1298
"S100A11",16823,15929,1179,1255
"TCHHL1",0,0,0,0
"TCHH",129,118,78,63
"RPTN",0,0,0,0
"HRNR",0,0,0,0
"FLG",2,0,0,0
"FLG2",0,0,0,0
"CRNN",0,0,0,1
"LCE5A",0,0,4,1
"CRCT1",0,0,0,0
"LCE3E",1,0,0,0
"LCE3D",6,0,0,0
"LCE3C",0,0,0,2
"LCE3B",0,0,0,0
"LCE3A",1,2,0,0
"LCE2D",0,0,0,0
"LCE2C",0,0,0,0
"LCE2B",0,0,0,0
"LCE2A",0,0,0,0
"LCE4A",0,0,0,0
"C1orf68",0,0,0,0
"KPRP",1,0,3,3
"LCE1F",5,4,0,0
"LCE1E",3,3,0,0
"LCE1D",0,0,0,0
"LCE1C",0,0,3,0
"LCE1B",0,0,0,0
"LCE1A",0,0,0,0
"LCE6A",0,0,0,0
"SMCP",0,0,16,8
"IVL",11,13,0,0
"SPRR4",0,0,0,0
"SPRR1A",4,3,0,0
"SPRR3",0,0,0,0
"SPRR1B",10,9,0,0
"SPRR2D",38,37,1,0
"SPRR2A",4,18,0,0
"SPRR2B",0,0,0,0
"SPRR2E",0,0,0,0
"SPRR2F",23,2,0,0
"SPRR2C",0,4,0,0
"SPRR2G",0,0,4,6
"LELP1",3,0,0,0
"PRR9",3,1,0,0
"LOR",0,0,15,17
"PGLYRP3",8,0,0,0
"PGLYRP4",15,19,0,0
"S100A9",158,121,892,946
"S100A12",4,5,37,50
"S100A8",60,30,540,556
"S100A7A",12,4,0,0
"S100A7L2",0,0,0,0
"S100A7",78,83,13,8
"S100A6",15057,14254,6278,5913
"S100A5",9,14,11,13
"S100A4",6839,6358,183,232
"S100A3",99,78,19,17
"S100A2",95,79,21,40
"S100A16",4523,3854,1782,1890
"S100A14",1818,1685,13,25
"S100A13",3846,3649,2757,2802
"S100A1",1288,1027,5121,5432
"CHTOP",6076,5662,5635,5175
"SNAPIN",1921,1737,1895,1946
"ILF2",21159,20124,6033,5848
"NPR1",1419,1202,184,140
"INTS3",8686,8634,7726,7410
"SLC27A3",1255,1167,1126,1075
"GATAD2B",4097,3889,5487,5299
"DENND4B",7722,7332,8739,9177
"CRTC2",3408,2961,2952,2945
"SLC39A1",8720,8254,2601,2606
"CREB3L4",1389,1349,292,288
"JTB",7657,6980,5540,6234
"RAB13",5370,4903,1245,1338
"RPS27",54023,50620,14816,15334
"NUP210L",189,140,1,3
"TPM3",24635,24189,11270,11396
"MIR190B",0,0,0,0
"C1orf189",2,0,3,6
"C1orf43",15215,14471,15098,14366
"UBAP2L",16469,15361,8371,8423
"HAX1",7153,6485,4547,4810
"AQP10",160,157,0,3
"ATP8B2",5225,4941,5039,5036
"IL6R",1925,1798,810,860
"SHE",74,73,444,373
"TDRD10",35,34,51,25
"UBE2Q1",6044,5821,6937,7456
"CHRNB2",63,47,4261,4303
"ADAR",23765,23988,23165,22232
"KCNN3",733,700,2535,2324
"PMVK",2054,1792,2972,2859
"PBXIP1",4389,4281,7488,7617
"PYGO2",4658,4195,4193,4193
"SHC1",13617,12307,3375,3265
"CKS1B",4461,4184,239,264
"MIR4258",10,15,1,0
"FLAD1",3363,2908,1286,1357
"LENEP",4,0,0,0
"ZBTB7B",3057,2838,2019,2131
"DCST2",259,156,99,99
"DCST1",20,21,5,8
"LOC100505666",354,365,37,40
"ADAM15",10573,9477,4587,4895
"EFNA4",793,737,50,84
"EFNA3",934,824,1630,1573
"EFNA1",3293,2974,1845,2133
"SLC50A1",3456,3441,480,464
"DPM3",836,721,685,772
"KRTCAP2",4512,4594,1852,1949
"TRIM46",323,329,2048,2118
"MUC1",2534,2589,71,120
"MIR92B",0,0,0,0
"THBS3",1945,1550,860,1103
"MTX1",1995,1704,677,740
"GBAP1",415,404,576,608
"GBA",3933,3807,2432,2302
"FAM189B",3635,3286,2880,2944
"SCAMP3",5154,4561,2925,2988
"CLK2",5087,4809,2408,2436
"HCN3",1175,1142,2002,2219
"PKLR",572,581,129,127
"FDPS",13213,12095,5429,5680
"RUSC1-AS1",80,69,31,31
"RUSC1",3046,2802,9184,9520
"ASH1L",5983,6086,13049,12647
"MIR555",0,0,0,3
"POU5F1P4",1,1,0,0
"ASH1L-AS1",236,160,86,155
"MSTO1",265,249,150,136
"MSTO2P",463,466,360,409
"YY1AP1",5933,6023,6239,6672
"DAP3",8854,8490,3263,3156
"GON4L",4244,4328,2613,2854
"SYT11",795,887,57557,55290
"RIT1",1739,1736,926,876
"KIAA0907",6254,6211,4134,4011
"SNORA42",9,6,0,1
"SCARNA4",8,0,6,0
"RXFP4",2,4,0,2
"ARHGEF2",9658,9045,11421,11639
"SSR2",15254,14198,4593,4744
"UBQLN4",5220,4771,5728,5538
"LAMTOR2",2030,1796,1564,1731
"RAB25",779,647,26,38
"MEX3A",3207,3393,214,230
"LMNA",24373,21559,4213,4262
"SEMA4A",807,714,1626,1716
"SLC25A44",2969,2812,6037,6153
"PMF1",1309,1139,556,645
"PMF1-BGLAP",10,16,18,15
"BGLAP",9,1,3,15
"PAQR6",1282,1068,22443,24123
"SMG5",11161,10190,9135,9661
"TMEM79",755,622,370,355
"C1orf85",3074,2868,878,917
"VHLL",0,0,2,3
"CCT3",34610,33045,12155,13126
"TSACC",42,38,16,9
"RHBG",571,407,458,567
"C1orf61",42,38,10975,11518
"MIR9-1",0,0,0,0
"MEF2D",4219,3728,12489,12902
"IQGAP3",5636,5129,94,95
"TTC24",40,38,0,3
"APOA1BP",4995,4467,3132,3197
"GPATCH4",4177,4192,1516,1424
"HAPLN2",59,21,5791,6233
"BCAN",1060,1074,11077,11649
"NES",8338,7884,3237,3266
"CRABP2",6806,6336,426,396
"ISG20L2",3456,3209,1093,1100
"RRNAD1",2356,2394,1493,1450
"MRPL24",3551,3355,2545,2467
"HDGF",29828,29035,10863,11008
"PRCC",5065,4618,4073,4386
"SH2D2A",365,343,60,41
"NTRK1",176,163,103,74
"INSRR",13,17,80,84
"PEAR1",245,208,552,458
"LRRC71",5,9,6,9
"ARHGEF11",4629,4464,10037,10578
"MIR765",2,3,0,0
"ETV3L",3,1,28,26
"ETV3",847,819,278,268
"CYCSP52",0,0,0,0
"FCRL5",7,11,0,0
"FCRL4",1,0,1,0
"FCRL3",1,3,0,8
"FCRL2",26,23,0,0
"FCRL1",24,34,0,0
"CD5L",6,4,7,0
"KIRREL",2368,2276,164,186
"LOC646268",2,0,0,0
"CD1D",624,753,16,36
"CD1A",762,771,1,1
"CD1C",333,350,0,0
"CD1B",357,369,0,1
"CD1E",363,383,2,1
"OR10T2",5,4,0,0
"OR10K2",1,0,0,0
"OR10K1",0,0,0,0
"OR10R2",0,0,0,0
"OR6Y1",0,0,0,0
"OR6P1",0,0,0,0
"OR10X1",0,0,0,0
"OR10Z1",0,0,0,0
"SPTA1",985,979,1,1
"OR6K2",0,0,0,0
"OR6K3",2,0,0,0
"OR6K6",0,0,0,0
"OR6N1",0,0,0,0
"OR6N2",0,0,0,0
"MNDA",373,359,186,138
"PYHIN1",11,14,4,0
"IFI16",9195,9397,1504,1468
"AIM2",89,108,15,20
"CADM3",507,526,48079,49892
"LOC100131825",0,1,123,63
"DARC",30,12,3344,3365
"FCER1A",0,0,16,9
"OR10J3",0,0,0,0
"OR10J1",0,0,0,0
"OR10J5",0,0,0,0
"APCS",0,0,0,0
"CRP",0,0,0,5
"DUSP23",834,716,562,617
"FCRL6",1,1,22,27
"SLAMF8",10,10,149,105
"C1orf204",94,95,1224,1159
"VSIG8",5,10,209,227
"CCDC19",59,55,65,80
"TAGLN2",24084,22158,3346,3722
"IGSF9",648,553,30,34
"SLAMF9",326,323,1,3
"LOC100505633",80,97,1,0
"PIGM",1084,1015,597,561
"KCNJ10",246,268,15069,14805
"KCNJ9",2,10,9592,9428
"IGSF8",3964,3845,14231,15375
"ATP1A2",647,625,64480,64629
"ATP1A4",7,7,41,52
"CASQ1",110,85,1037,981
"PEA15",8132,7909,64109,64657
"DCAF8",7499,7157,11821,11544
"PEX19",5942,5405,6406,6850
"COPA",20531,20563,16258,16396
"SUMO1P3",7,6,5,5
"NCSTN",10283,9552,5265,5633
"NHLH1",35,22,88,103
"VANGL2",2533,2293,1943,1864
"SLAMF6",163,179,0,1
"CD84",298,244,188,187
"SLAMF1",3,22,0,0
"CD48",146,126,48,52
"SLAMF7",216,227,11,5
"LY9",113,72,5,3
"CD244",48,51,26,18
"ITLN1",5,0,0,0
"ITLN2",16,7,1,2
"F11R",8018,7526,912,871
"TSTD1",622,522,416,493
"USF1",2792,2667,3574,3545
"ARHGAP30",1396,1405,226,218
"PVRL4",309,296,5,7
"KLHDC9",149,108,1189,1292
